Gene,ChineseAmber,Leoti,pi229841,pi297155,pi300119,pi329311,pi506069,pi510757,pi655972,Rio,tx430,btx623,Grassl
3381.casb001g000100.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000110.635,0,0,0,0,0,0,0,1,0,0,1,0,0
3381.casb001g000120.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000170.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g000220.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000230.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g000320.635,0,0,0,0,0,1,0,0,0,0,0,0,0
3381.casb001g000320.635_1,0,0,0,0,0,1,0,0,0,0,0,0,0
3381.casb001g000350.635,0,0,0,0,1,0,0,0,0,0,1,0,0
3381.casb001g000400.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000410.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g000460.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g000500.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g000600.635,0,0,0,0,1,0,1,1,0,0,1,1,1
3381.casb001g000630.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000670.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000820.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g000840.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000910.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000950.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g000990.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g001180.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g001220.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g001230.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g001230.635_1,0,0,0,0,0,0,0,0,0,0,0,1,1
3381.casb001g001250.635,0,0,0,0,0,0,0,0,0,0,1,1,0
3381.casb001g001280.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g001290.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g001290.635_1,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_10,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_11,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_12,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_13,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_14,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_15,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_16,0,0,0,0,0,0,0,0,0,0,0,0,1
3381.casb001g001290.635_17,0,0,0,0,0,0,0,0,0,0,0,0,1
